Setting,Instance,n,Iterations,Run,XiMin,XiMax,Eta,Psi,Penalty,RestartFraction,Cost,RiderCost,DroneCost,DelayCost,WalkCost,Direct,Drone,Restarts,Time,Feasible
Baseline,RDL-tune-n25-01,25,10000,0,0.1,0.4,0.997,100,10000.0,0.05,443.931956,442.73,0.0,1.2,0.0,25,0,16,15.687445,True
Baseline,RDL-tune-n25-01,25,10000,1,0.1,0.4,0.997,100,10000.0,0.05,432.831138,432.83,0.0,0.0,0.0,25,0,18,15.301408,True
Baseline,RDL-tune-n25-01,25,10000,2,0.1,0.4,0.997,100,10000.0,0.05,436.865261,423.1,9.94,2.0,1.82,24,1,18,15.020329,True
Baseline,RDL-tune-n25-02,25,10000,0,0.1,0.4,0.997,100,10000.0,0.05,491.994279,407.34,80.49,0.0,4.16,19,6,17,19.060614,True
Baseline,RDL-tune-n25-02,25,10000,1,0.1,0.4,0.997,100,10000.0,0.05,492.008001,407.72,80.49,0.0,3.8,19,6,18,19.558634,True
Baseline,RDL-tune-n25-02,25,10000,2,0.1,0.4,0.997,100,10000.0,0.05,489.92447,405.63,80.49,0.0,3.8,19,6,16,19.537281,True
Baseline,RDL-tune-n25-03,25,10000,0,0.1,0.4,0.997,100,10000.0,0.05,459.534917,404.07,50.03,0.64,4.79,21,4,17,20.909687,True
Baseline,RDL-tune-n25-03,25,10000,1,0.1,0.4,0.997,100,10000.0,0.05,452.100942,372.97,70.76,0.64,7.73,19,6,18,21.909601,True
Baseline,RDL-tune-n25-03,25,10000,2,0.1,0.4,0.997,100,10000.0,0.05,459.576408,404.12,50.03,0.64,4.79,21,4,17,22.936441,True
Baseline,RDL-tune-n25-04,25,10000,0,0.1,0.4,0.997,100,10000.0,0.05,503.760649,503.76,0.0,0.0,0.0,25,0,17,17.848133,True
Baseline,RDL-tune-n25-04,25,10000,1,0.1,0.4,0.997,100,10000.0,0.05,505.533085,505.53,0.0,0.0,0.0,25,0,17,17.932902,True
Baseline,RDL-tune-n25-04,25,10000,2,0.1,0.4,0.997,100,10000.0,0.05,502.217032,493.64,7.54,0.0,1.04,24,1,14,18.404712,True
Baseline,RDL-tune-n25-05,25,10000,0,0.1,0.4,0.997,100,10000.0,0.05,541.669999,489.39,49.95,0.0,2.33,21,4,19,22.552173,True
Baseline,RDL-tune-n25-05,25,10000,1,0.1,0.4,0.997,100,10000.0,0.05,538.895416,484.99,49.95,1.63,2.33,21,4,16,23.436049,True
Baseline,RDL-tune-n25-05,25,10000,2,0.1,0.4,0.997,100,10000.0,0.05,544.829912,500.23,41.81,0.0,2.79,22,3,18,23.958586,True
Baseline,RDL-tune-n25-06,25,10000,0,0.1,0.4,0.997,100,10000.0,0.05,509.832284,509.83,0.0,0.0,0.0,25,0,17,21.848732,True
