Instance,n,Iterations,xi_min,xi_max,eta,psi,Run,Cost,RiderCost,DroneCost,DelayCost,WalkCost,Direct,Drone,Time,Feasible
RDL-tune-n25-01,25,10000,0.1,0.4,0.995,100,0,436.87,423.1,9.94,2.0,1.82,24,1,15.26,True
RDL-tune-n25-01,25,10000,0.1,0.4,0.995,100,1,443.6,442.4,0.0,1.2,0.0,25,0,15.85,True
RDL-tune-n25-01,25,10000,0.1,0.4,0.995,100,2,443.93,442.73,0.0,1.2,0.0,25,0,14.71,True
RDL-tune-n25-01,25,10000,0.1,0.4,0.997,100,0,443.93,442.73,0.0,1.2,0.0,25,0,15.61,True
RDL-tune-n25-01,25,10000,0.1,0.4,0.997,100,1,432.83,432.83,0.0,0.0,0.0,25,0,15.25,True
RDL-tune-n25-01,25,10000,0.1,0.4,0.997,100,2,436.87,423.1,9.94,2.0,1.82,24,1,14.95,True
RDL-tune-n25-01,25,10000,0.1,0.4,0.999,100,0,443.93,442.73,0.0,1.2,0.0,25,0,15.04,True
RDL-tune-n25-01,25,10000,0.1,0.4,0.999,100,1,445.03,443.83,0.0,1.2,0.0,25,0,15.3,True
RDL-tune-n25-01,25,10000,0.1,0.4,0.999,100,2,443.93,442.73,0.0,1.2,0.0,25,0,15.27,True
RDL-tune-n25-01,25,10000,0.2,0.5,0.995,100,0,443.93,442.73,0.0,1.2,0.0,25,0,21.79,True
RDL-tune-n25-01,25,10000,0.2,0.5,0.995,100,1,443.93,442.73,0.0,1.2,0.0,25,0,22.28,True
RDL-tune-n25-01,25,10000,0.2,0.5,0.995,100,2,432.83,432.83,0.0,0.0,0.0,25,0,22.04,True
RDL-tune-n25-01,25,10000,0.2,0.5,0.997,100,0,443.93,442.73,0.0,1.2,0.0,25,0,22.4,True
RDL-tune-n25-01,25,10000,0.2,0.5,0.997,100,1,446.11,433.15,9.94,1.2,1.82,24,1,22.66,True
RDL-tune-n25-01,25,10000,0.2,0.5,0.997,100,2,436.87,423.1,9.94,2.0,1.82,24,1,21.4,True
RDL-tune-n25-01,25,10000,0.2,0.5,0.999,100,0,445.07,443.87,0.0,1.2,0.0,25,0,21.63,True
RDL-tune-n25-01,25,10000,0.2,0.5,0.999,100,1,444.06,442.86,0.0,1.2,0.0,25,0,22.29,True
RDL-tune-n25-01,25,10000,0.2,0.5,0.999,100,2,436.95,426.04,8.96,0.0,1.95,24,1,22.42,True
RDL-tune-n25-01,25,10000,0.3,0.6,0.995,100,0,443.6,442.4,0.0,1.2,0.0,25,0,29.83,True
RDL-tune-n25-01,25,10000,0.3,0.6,0.995,100,1,443.6,442.4,0.0,1.2,0.0,25,0,29.17,True
RDL-tune-n25-01,25,10000,0.3,0.6,0.995,100,2,445.03,443.83,0.0,1.2,0.0,25,0,26.92,True
RDL-tune-n25-01,25,10000,0.3,0.6,0.997,100,0,444.75,443.55,0.0,1.2,0.0,25,0,27.04,True
RDL-tune-n25-01,25,10000,0.3,0.6,0.997,100,1,443.93,442.73,0.0,1.2,0.0,25,0,26.88,True
RDL-tune-n25-01,25,10000,0.3,0.6,0.997,100,2,445.03,443.83,0.0,1.2,0.0,25,0,27.99,True
