Instance,n,Iterations,xi_min,xi_max,eta,psi,AvgCost,MinCost,MaxCost,StdCost,AvgRider,AvgDroneCost,AvgDelay,AvgWalk,AvgDirect,AvgDroneOrd,AvgTime,BestCost
RDL-n10-01,10,5000,0.1,0.4,0.997,100,351.27,351.27,351.27,0.0,269.17,0.0,82.1,0.0,10.0,0.0,1.8150000000000002,351.27
RDL-n10-02,10,5000,0.1,0.4,0.997,100,402.99,402.99,402.99,0.0,279.71,41.65,75.37,6.27,7.0,3.0,1.9579999999999997,402.99
RDL-n10-03,10,5000,0.1,0.4,0.997,100,150.07,150.07,150.07,0.0,124.10999999999999,23.41,0.0,2.55,7.0,3.0,2.071,150.07
RDL-n10-04,10,5000,0.1,0.4,0.997,100,216.34,216.34,216.34,0.0,191.49,22.23,0.0,2.62,7.0,3.0,1.92,216.34
RDL-n10-05,10,5000,0.1,0.4,0.997,100,285.66,285.66,285.66,0.0,266.56,18.24,0.0,0.86,9.0,1.0,1.8820000000000001,285.66
RDL-n10-06,10,5000,0.1,0.4,0.997,100,266.76,266.76,266.76,0.0,247.93,18.5,0.0,0.33,9.0,1.0,1.8240000000000003,266.76
RDL-n10-07,10,5000,0.1,0.4,0.997,100,235.54000000000002,235.54,235.54,0.0,188.71,42.52,0.0,4.31,7.0,3.0,2.0140000000000002,235.54
RDL-n10-08,10,5000,0.1,0.4,0.997,100,379.844,375.17,390.75,7.525854990187706,317.536,30.405,28.586000000000002,3.317,7.0,3.0,1.9439999999999997,375.17
RDL-n5-01,5,5000,0.1,0.4,0.997,100,104.14000000000001,104.14,104.14,0.0,86.96,16.52,0.0,0.66,4.0,1.0,1.298,104.14
RDL-n5-02,5,5000,0.1,0.4,0.997,100,186.46,186.46,186.46,0.0,130.96,52.85,0.0,2.65,2.0,3.0,1.302,186.46
RDL-n5-03,5,5000,0.1,0.4,0.997,100,155.48,155.48,155.48,0.0,104.10999999999999,47.52,0.0,3.85,2.0,3.0,1.387,155.48
RDL-n5-04,5,5000,0.1,0.4,0.997,100,165.55,165.55,165.55,0.0,161.25,3.29,0.0,1.01,4.0,1.0,1.249,165.55
RDL-n5-05,5,5000,0.1,0.4,0.997,100,146.77,146.77,146.77,0.0,128.33,17.13,0.0,1.32,4.0,1.0,1.2209999999999999,146.77
RDL-n5-06,5,5000,0.1,0.4,0.997,100,143.43200000000002,143.34,143.8,0.19395302982366522,118.266,22.842,0.0,2.3240000000000003,2.8,2.2,1.285,143.34
RDL-n5-07,5,5000,0.1,0.4,0.997,100,183.14,183.14,183.14,0.0,145.14,34.9,0.0,3.11,2.0,3.0,1.3530000000000002,183.14
RDL-n5-08,5,5000,0.1,0.4,0.997,100,145.98,145.98,145.98,0.0,105.69000000000001,34.57,0.0,5.72,2.0,3.0,1.29,145.98
RDL-n8-01,8,5000,0.1,0.4,0.997,100,171.29,171.29,171.29,0.0,141.82,26.5,0.0,2.97,6.0,2.0,1.578,171.29
RDL-n8-02,8,5000,0.1,0.4,0.997,100,138.74,138.74,138.74,0.0,109.72,24.9,0.0,4.12,5.0,3.0,1.67,138.74
RDL-n8-03,8,5000,0.1,0.4,0.997,100,278.782,277.64,283.35,2.407547391941534,226.11399999999998,47.09,0.0,5.57,5.0,3.0,1.613,277.64
RDL-n8-04,8,5000,0.1,0.4,0.997,100,173.43,173.43,173.43,0.0,160.88,12.28,0.0,0.27,7.0,1.0,1.46,173.43
RDL-n8-05,8,5000,0.1,0.4,0.997,100,160.93,160.93,160.93,0.0,121.84,35.53,0.0,3.56,5.0,3.0,1.6280000000000001,160.93
RDL-n8-06,8,5000,0.1,0.4,0.997,100,160.57,160.57,160.57,0.0,141.14,17.29,0.0,2.13,5.0,3.0,1.61,160.57
RDL-n8-07,8,5000,0.1,0.4,0.997,100,245.8,245.8,245.8,0.0,220.45999999999998,22.7,0.0,2.64,6.0,2.0,1.616,245.8
RDL-n8-08,8,5000,0.1,0.4,0.997,100,250.746,246.7,266.93,8.52971694202752,212.37600000000003,16.92,19.002,2.45,6.0,2.0,1.503,246.7
