Instance,n,TimeLimit,SearchProfile,RootCutViolationThreshold,BCRootCutFamilies,BaseMIP_UB,BaseMIP_LB,BaseMIP_Gap,BaseMIP_RootLP,BaseMIP_RootGap,BaseMIP_RootLPTime,BaseMIP_Time,BaseMIP_Nodes,BaseMIP_Status,BC_UB,BC_LB,BC_Gap,BC_RootLP,BC_RootGap,BC_RootLPTime,BC_Time,BC_Nodes,BC_RootCuts,BC_RoundedCapacityCuts,BC_ModeRoundedCoverCuts,BC_Status,BCALNS_WarmStart_Used,BCALNS_WarmStart_Seed,BCALNS_WarmStart_Iterations,BCALNS_WarmStart_XiMin,BCALNS_WarmStart_XiMax,BCALNS_WarmStart_Eta,BCALNS_WarmStart_Psi,BCALNS_WarmStart_Objective,BCALNS_WarmStart_GenerationTime,BCALNS_UB,BCALNS_LB,BCALNS_Gap,BCALNS_RootLP,BCALNS_RootGap,BCALNS_RootLPTime,BCALNS_Time,BCALNS_Nodes,BCALNS_RootCuts,BCALNS_RoundedCapacityCuts,BCALNS_ModeRoundedCoverCuts,BCALNS_Status
RDL-n5-01,5,7200.0,balanced,0.1,rounded_capacity+mode_rounded_cover,104.14,104.14,0.0,88.45,15.07,0.01,0.51,2110,integer optimal solution,104.14,104.14,0.0,95.9,7.91,0.2,2.48,2010,29,27,2,integer optimal solution,True,2026,500,0.1,0.4,0.997,100,104.14,0.14,104.14,104.14,0.0,95.9,7.91,0.17,1.56,579,29,27,2,integer optimal solution
RDL-n5-02,5,7200.0,balanced,0.1,rounded_capacity+mode_rounded_cover,186.46,186.46,0.0,116.22,37.67,0.01,2.58,6556,integer optimal solution,186.46,186.46,0.0,155.15,16.79,0.13,4.03,4864,29,24,5,integer optimal solution,True,2026,500,0.1,0.4,0.997,100,186.46,0.13,186.46,186.46,0.0,155.15,16.79,0.13,3.17,5536,29,24,5,integer optimal solution
RDL-n5-03,5,7200.0,balanced,0.1,rounded_capacity+mode_rounded_cover,155.48,155.48,0.0,98.33,36.76,0.01,2.49,5759,integer optimal solution,155.48,155.48,0.0,138.98,10.62,0.35,6.8,5079,80,58,22,integer optimal solution,True,2026,500,0.1,0.4,0.997,100,165.67,0.14,155.48,155.48,0.0,138.98,10.62,0.36,6.17,5602,80,58,22,integer optimal solution
RDL-n5-04,5,7200.0,balanced,0.1,rounded_capacity+mode_rounded_cover,165.55,165.55,0.0,89.56,45.9,0.01,2.58,6006,integer optimal solution,165.55,165.55,0.0,141.73,14.39,0.15,3.63,5354,45,41,4,integer optimal solution,True,2026,500,0.1,0.4,0.997,100,165.55,0.13,165.55,165.55,0.0,141.73,14.39,0.15,3.3,4842,45,41,4,integer optimal solution
RDL-n5-05,5,7200.0,balanced,0.1,rounded_capacity+mode_rounded_cover,146.77,146.77,0.0,63.96,56.42,0.01,0.84,3785,"integer optimal, tolerance",146.77,146.77,0.0,123.85,15.62,0.25,2.77,4459,48,43,5,integer optimal solution,True,2026,500,0.1,0.4,0.997,100,146.77,0.15,146.77,146.77,0.0,123.85,15.62,0.26,2.43,1829,48,43,5,integer optimal solution
RDL-n5-06,5,7200.0,balanced,0.1,rounded_capacity+mode_rounded_cover,143.34,143.34,0.0,65.89,54.03,0.01,2.31,6020,integer optimal solution,143.34,143.34,0.0,129.33,9.78,0.63,8.87,11956,89,82,7,integer optimal solution,True,2026,500,0.1,0.4,0.997,100,144.98,0.13,143.34,143.34,0.0,129.33,9.78,0.43,8.32,11977,89,82,7,integer optimal solution
RDL-n5-07,5,7200.0,balanced,0.1,rounded_capacity+mode_rounded_cover,183.14,183.14,0.0,141.6,22.68,0.01,0.71,2462,integer optimal solution,183.14,183.14,0.0,168.46,8.02,0.13,1.89,4385,37,29,8,integer optimal solution,True,2026,500,0.1,0.4,0.997,100,183.14,0.14,183.14,183.14,0.0,168.46,8.02,0.13,1.52,616,37,29,8,integer optimal solution
RDL-n5-08,5,7200.0,balanced,0.1,rounded_capacity+mode_rounded_cover,145.98,145.98,0.0,79.33,45.66,0.01,0.82,4459,integer optimal solution,145.98,145.98,0.0,138.13,5.38,0.37,3.92,5222,77,72,5,integer optimal solution,True,2026,500,0.1,0.4,0.997,100,145.98,0.14,145.98,145.98,0.0,138.13,5.38,0.38,3.72,3786,77,72,5,"integer optimal, tolerance"
RDL-n8-01,8,7200.0,balanced,0.1,rounded_capacity+mode_rounded_cover,171.29,171.28,0.0,54.47,68.2,0.02,7171.88,6506532,"integer optimal, tolerance",171.29,171.28,0.0,132.35,22.73,0.71,4983.73,4140317,134,97,37,"integer optimal, tolerance",True,2026,500,0.1,0.4,0.997,100,171.29,0.17,171.29,171.28,0.0,132.35,22.73,0.72,3748.67,3035787,134,97,37,"integer optimal, tolerance"
RDL-n8-02,8,7200.0,balanced,0.1,rounded_capacity+mode_rounded_cover,138.74,131.26,5.39,48.68,64.91,0.02,7200.03,6940428,time limit exceeded,138.74,129.66,6.55,95.24,31.36,0.82,7200.05,5546334,133,85,48,time limit exceeded,True,2026,500,0.1,0.4,0.997,100,143.1,0.16,138.74,138.73,0.0,95.24,31.36,0.85,3682.05,3188525,133,85,48,"integer optimal, tolerance"
