Instance,n,Iterations,xi_min,xi_max,eta,psi,Run,Cost,RiderCost,DroneCost,DelayCost,WalkCost,Direct,Drone,Time,Feasible
RDL-n25-01,25,10000,0.1,0.4,0.997,100,0,254.61,229.18,21.2,0.0,4.22,21,4,21.82,True
RDL-n25-01,25,10000,0.1,0.4,0.997,100,1,254.1,242.32,9.22,0.0,2.55,23,2,21.58,True
RDL-n25-01,25,10000,0.1,0.4,0.997,100,2,256.69,250.28,5.46,0.0,0.95,24,1,21.56,True
RDL-n25-01,25,10000,0.1,0.4,0.997,100,3,254.61,229.18,21.2,0.0,4.22,21,4,21.12,True
RDL-n25-01,25,10000,0.1,0.4,0.997,100,4,254.45,243.63,9.22,0.0,1.6,23,2,21.53,True
RDL-n25-01,25,10000,0.1,0.4,0.997,100,5,256.67,250.25,5.46,0.0,0.95,24,1,20.92,True
RDL-n25-01,25,10000,0.1,0.4,0.997,100,6,253.68,227.81,21.2,0.0,4.67,21,4,21.03,True
RDL-n25-01,25,10000,0.1,0.4,0.997,100,7,253.72,215.12,33.14,0.0,5.46,20,5,21.7,True
RDL-n25-01,25,10000,0.1,0.4,0.997,100,8,253.87,242.1,9.22,0.0,2.55,23,2,21.65,True
RDL-n25-01,25,10000,0.1,0.4,0.997,100,9,252.47,227.65,21.2,0.0,3.62,21,4,21.31,True
RDL-n25-02,25,10000,0.1,0.4,0.997,100,0,478.16,428.13,43.34,0.0,6.69,21,4,22.05,True
RDL-n25-02,25,10000,0.1,0.4,0.997,100,1,478.16,428.13,43.34,0.0,6.69,21,4,22.55,True
RDL-n25-02,25,10000,0.1,0.4,0.997,100,2,488.71,436.91,43.34,0.0,8.45,21,4,22.8,True
RDL-n25-02,25,10000,0.1,0.4,0.997,100,3,478.03,403.82,58.44,7.16,8.6,19,6,22.46,True
RDL-n25-02,25,10000,0.1,0.4,0.997,100,4,478.31,430.01,36.45,4.53,7.32,22,3,22.5,True
RDL-n25-02,25,10000,0.1,0.4,0.997,100,5,478.16,428.13,43.34,0.0,6.69,21,4,21.79,True
RDL-n25-02,25,10000,0.1,0.4,0.997,100,6,475.37,424.0,43.78,0.0,7.59,21,4,23.92,True
RDL-n25-02,25,10000,0.1,0.4,0.997,100,7,477.88,410.83,58.44,0.0,8.6,19,6,24.97,True
RDL-n25-02,25,10000,0.1,0.4,0.997,100,8,477.85,403.64,58.44,7.16,8.6,19,6,26.36,True
RDL-n25-02,25,10000,0.1,0.4,0.997,100,9,478.16,428.13,43.34,0.0,6.69,21,4,28.72,True
RDL-n25-03,25,10000,0.1,0.4,0.997,100,0,457.91,435.92,19.15,0.0,2.84,23,2,20.33,True
RDL-n25-03,25,10000,0.1,0.4,0.997,100,1,434.55,430.02,2.29,0.0,2.25,24,1,20.58,True
RDL-n25-03,25,10000,0.1,0.4,0.997,100,2,452.99,435.53,16.86,0.0,0.6,24,1,19.89,True
RDL-n25-03,25,10000,0.1,0.4,0.997,100,3,439.86,430.91,4.57,0.0,4.38,23,2,19.85,True
RDL-n25-03,25,10000,0.1,0.4,0.997,100,4,435.26,430.72,2.29,0.0,2.25,24,1,19.92,True
RDL-n25-03,25,10000,0.1,0.4,0.997,100,5,439.86,430.91,4.57,0.0,4.38,23,2,19.85,True
RDL-n25-03,25,10000,0.1,0.4,0.997,100,6,452.74,435.28,16.86,0.0,0.6,24,1,19.07,True
RDL-n25-03,25,10000,0.1,0.4,0.997,100,7,433.43,428.89,2.29,0.0,2.25,24,1,19.62,True
RDL-n25-03,25,10000,0.1,0.4,0.997,100,8,439.99,410.83,23.55,0.0,5.61,21,4,19.35,True
RDL-n25-03,25,10000,0.1,0.4,0.997,100,9,441.9,441.9,0.0,0.0,0.0,25,0,19.63,True
RDL-n25-04,25,10000,0.1,0.4,0.997,100,0,530.21,472.11,55.56,0.0,2.54,22,3,20.19,True
RDL-n25-04,25,10000,0.1,0.4,0.997,100,1,529.71,529.71,0.0,0.0,0.0,25,0,19.8,True
RDL-n25-04,25,10000,0.1,0.4,0.997,100,2,529.7,529.7,0.0,0.0,0.0,25,0,20.15,True
RDL-n25-04,25,10000,0.1,0.4,0.997,100,3,531.57,531.57,0.0,0.0,0.0,25,0,20.27,True
RDL-n25-04,25,10000,0.1,0.4,0.997,100,4,529.51,471.41,55.56,0.0,2.54,22,3,20.42,True
RDL-n25-04,25,10000,0.1,0.4,0.997,100,5,529.85,529.85,0.0,0.0,0.0,25,0,19.88,True
RDL-n25-04,25,10000,0.1,0.4,0.997,100,6,528.16,528.16,0.0,0.0,0.0,25,0,20.07,True
RDL-n25-04,25,10000,0.1,0.4,0.997,100,7,528.92,528.92,0.0,0.0,0.0,25,0,19.75,True
RDL-n25-04,25,10000,0.1,0.4,0.997,100,8,532.33,532.33,0.0,0.0,0.0,25,0,20.67,True
RDL-n25-04,25,10000,0.1,0.4,0.997,100,9,532.46,532.46,0.0,0.0,0.0,25,0,20.61,True
RDL-n25-05,25,10000,0.1,0.4,0.997,100,0,712.05,637.99,68.95,0.0,5.12,20,5,21.53,True
RDL-n25-05,25,10000,0.1,0.4,0.997,100,1,712.05,637.99,68.95,0.0,5.12,20,5,21.66,True
RDL-n25-05,25,10000,0.1,0.4,0.997,100,2,712.05,637.99,68.95,0.0,5.12,20,5,21.63,True
RDL-n25-05,25,10000,0.1,0.4,0.997,100,3,712.05,637.99,68.95,0.0,5.12,20,5,21.92,True
RDL-n25-05,25,10000,0.1,0.4,0.997,100,4,712.05,637.99,68.95,0.0,5.12,20,5,22.09,True
RDL-n25-05,25,10000,0.1,0.4,0.997,100,5,712.05,637.99,68.95,0.0,5.12,20,5,21.0,True
RDL-n25-05,25,10000,0.1,0.4,0.997,100,6,712.05,637.99,68.95,0.0,5.12,20,5,21.7,True
RDL-n25-05,25,10000,0.1,0.4,0.997,100,7,712.05,637.99,68.95,0.0,5.12,20,5,21.73,True
RDL-n25-05,25,10000,0.1,0.4,0.997,100,8,712.05,637.99,68.95,0.0,5.12,20,5,21.71,True
RDL-n25-05,25,10000,0.1,0.4,0.997,100,9,712.05,637.99,68.95,0.0,5.12,20,5,21.44,True
RDL-n25-06,25,10000,0.1,0.4,0.997,100,0,432.52,425.97,6.36,0.0,0.18,24,1,21.25,True
RDL-n25-06,25,10000,0.1,0.4,0.997,100,1,430.94,419.91,10.0,0.0,1.04,23,2,20.89,True
RDL-n25-06,25,10000,0.1,0.4,0.997,100,2,431.8,420.77,10.0,0.0,1.04,23,2,21.21,True
RDL-n25-06,25,10000,0.1,0.4,0.997,100,3,432.8,426.25,6.36,0.0,0.18,24,1,21.49,True
RDL-n25-06,25,10000,0.1,0.4,0.997,100,4,431.8,420.77,10.0,0.0,1.04,23,2,21.27,True
RDL-n25-06,25,10000,0.1,0.4,0.997,100,5,432.52,425.97,6.36,0.0,0.18,24,1,20.84,True
RDL-n25-06,25,10000,0.1,0.4,0.997,100,6,432.53,425.99,6.36,0.0,0.18,24,1,21.34,True
RDL-n25-06,25,10000,0.1,0.4,0.997,100,7,432.52,425.97,6.36,0.0,0.18,24,1,21.3,True
RDL-n25-06,25,10000,0.1,0.4,0.997,100,8,432.53,425.99,6.36,0.0,0.18,24,1,21.31,True
RDL-n25-06,25,10000,0.1,0.4,0.997,100,9,433.84,408.68,23.48,0.0,1.67,22,3,22.47,True
RDL-n25-07,25,10000,0.1,0.4,0.997,100,0,428.43,428.43,0.0,0.0,0.0,25,0,20.69,True
RDL-n25-07,25,10000,0.1,0.4,0.997,100,1,420.03,365.06,52.39,0.0,2.57,22,3,19.72,True
RDL-n25-07,25,10000,0.1,0.4,0.997,100,2,427.92,427.92,0.0,0.0,0.0,25,0,20.35,True
RDL-n25-07,25,10000,0.1,0.4,0.997,100,3,415.3,407.53,5.0,0.0,2.77,24,1,19.99,True
RDL-n25-07,25,10000,0.1,0.4,0.997,100,4,428.05,428.05,0.0,0.0,0.0,25,0,20.61,True
