Instance,n,Iterations,xi_min,xi_max,eta,psi,AvgCost,MinCost,MaxCost,StdCost,AvgRider,AvgDroneCost,AvgDelay,AvgWalk,AvgDirect,AvgDroneOrd,AvgTime,FeasibleCount
RDL-n100-01,100,30000,0.1,0.4,0.997,100,1686.2009999999998,1633.68,1728.03,29.23514644700411,1611.33,63.797000000000004,2.8440000000000003,8.231,94.7,5.3,2608.1189999999997,10
RDL-n100-02,100,30000,0.1,0.4,0.997,100,1732.8939999999998,1677.31,1794.15,41.96411223361644,1661.1290000000001,58.052,9.681000000000001,4.031000000000001,95.8,4.2,2548.293,10
RDL-n100-03,100,30000,0.1,0.4,0.997,100,2091.618,2004.29,2207.0,55.69190481768625,1919.1680000000001,147.121,12.562000000000001,12.767,88.5,11.5,2375.472,10
RDL-n100-04,100,30000,0.1,0.4,0.997,100,2075.398,1977.74,2130.25,42.76892012769181,1948.3830000000003,102.366,17.538,7.1049999999999995,92.2,7.8,2362.9049999999997,10
RDL-n100-05,100,30000,0.1,0.4,0.997,100,2059.998,1993.45,2133.59,53.08910367381323,1961.062,69.312,22.637,6.99,93.9,6.1,1943.1529999999998,10
RDL-n100-06,100,30000,0.1,0.4,0.997,100,1647.3110000000001,1573.43,1727.27,50.57151491809506,1604.074,35.179,4.245,3.811,96.6,3.4,2255.559,10
RDL-n100-07,100,30000,0.1,0.4,0.997,100,1699.236,1591.38,1758.03,54.964514249346955,1620.213,68.896,4.64,5.486,94.9,5.1,2231.147,10
RDL-n100-08,100,30000,0.1,0.4,0.997,100,1491.98,1444.83,1525.37,27.618686508312535,1440.8110000000001,39.551,3.56,8.062999999999999,93.7,6.3,2118.3650000000002,10
RDL-n25-01,25,10000,0.1,0.4,0.997,100,254.487,252.47,256.69,1.3118523799066315,235.752,15.651999999999997,0.0,3.0789999999999997,22.1,2.9,21.422,10
RDL-n25-02,25,10000,0.1,0.4,0.997,100,478.879,475.37,488.71,3.561068659826704,422.17299999999994,47.225,1.8850000000000002,7.5920000000000005,20.5,4.5,23.812,10
RDL-n25-03,25,10000,0.1,0.4,0.997,100,442.849,433.43,457.91,8.62575014451239,431.091,9.242999999999999,0.0,2.516,23.5,1.5,19.809,10
RDL-n25-04,25,10000,0.1,0.4,0.997,100,530.242,528.16,532.46,1.429551600250169,518.6220000000001,11.112,0.0,0.508,24.4,0.6,20.181,10
RDL-n25-05,25,10000,0.1,0.4,0.997,100,712.05,712.05,712.05,0.0,637.99,68.95,0.0,5.12,20.0,5.0,21.641,10
RDL-n25-06,25,10000,0.1,0.4,0.997,100,432.38,430.94,433.84,0.757055700284548,422.62700000000007,9.164,0.0,0.587,23.5,1.5,21.337,10
RDL-n25-07,25,10000,0.1,0.4,0.997,100,422.479,414.07,428.43,6.174538129375437,397.435,22.956,0.0,2.088,23.4,1.6,20.259,10
RDL-n25-08,25,10000,0.1,0.4,0.997,100,507.524,505.68,510.62,1.3829613957816185,493.30699999999996,11.148,1.113,1.9600000000000002,23.4,1.6,20.831,10
RDL-n50-01,50,15000,0.1,0.4,0.997,100,725.941,712.11,742.81,8.79071283925381,681.451,38.544,1.621,4.327,45.2,4.8,177.622,10
RDL-n50-02,50,15000,0.1,0.4,0.997,100,874.768,868.76,884.72,5.423678128765096,815.413,52.33200000000001,1.214,5.811,44.2,5.8,189.25,10
RDL-n50-03,50,15000,0.1,0.4,0.997,100,1085.83,1057.87,1104.27,14.508585963720533,987.3620000000001,88.759,1.381,8.331,43.4,6.6,188.051,10
RDL-n50-04,50,15000,0.1,0.4,0.997,100,774.603,745.87,798.5,17.88935068072003,753.336,17.505000000000003,0.391,3.376,47.7,2.3,153.318,10
RDL-n50-05,50,15000,0.1,0.4,0.997,100,715.4300000000001,701.29,723.59,6.954940689898123,667.339,42.429,0.06,5.6049999999999995,45.3,4.7,169.84499999999997,10
RDL-n50-06,50,15000,0.1,0.4,0.997,100,543.516,530.55,552.83,8.085666604828862,488.078,49.017,0.28700000000000003,6.132,42.3,7.7,206.783,10
RDL-n50-07,50,15000,0.1,0.4,0.997,100,741.358,719.57,758.34,10.081520828834398,693.963,40.445,1.092,5.858,44.7,5.3,214.81199999999998,10
RDL-n50-08,50,15000,0.1,0.4,0.997,100,879.751,838.08,911.39,25.842727947679528,838.211,33.323,1.7830000000000001,6.432,44.7,5.3,157.582,10
RDL-n75-01,75,20000,0.1,0.4,0.997,100,924.342,886.37,974.38,30.45672113380266,870.883,46.043,0.8230000000000001,6.589,68.5,6.5,744.813,10
