instance_name,variant,seed,n_iterations,xi_min,xi_max,cooling_rate,segment_size,total_cost,rider_cost,drone_cost,delay_cost,self_pickup_cost,drone_served_orders,drone_mode_ratio,on_time_rate,average_delay,feasible,cpu_time
RDL-n25-01,Full-ALNS,1,10000,0.1,0.4,0.997,100,251.988272,226.118757,21.203031,0.0,4.666484,4,0.16,1.0,0.0,True,25.137631
RDL-n25-01,Full-ALNS,2,10000,0.1,0.4,0.997,100,256.667319,250.252008,5.464943,0.0,0.950368,1,0.04,1.0,0.0,True,25.558743
RDL-n25-01,Full-ALNS,3,10000,0.1,0.4,0.997,100,255.281276,244.456392,9.221111,0.0,1.603773,2,0.08,1.0,0.0,True,25.630864
RDL-n25-01,Full-ALNS,4,10000,0.1,0.4,0.997,100,253.734304,227.864789,21.203031,0.0,4.666484,4,0.16,1.0,0.0,True,25.319297
RDL-n25-01,Full-ALNS,5,10000,0.1,0.4,0.997,100,252.242704,227.423683,21.203031,0.0,3.61599,4,0.16,1.0,0.0,True,25.269431
RDL-n25-01,Full-ALNS,6,10000,0.1,0.4,0.997,100,256.924805,250.509494,5.464943,0.0,0.950368,1,0.04,1.0,0.0,True,25.178181
RDL-n25-01,Full-ALNS,7,10000,0.1,0.4,0.997,100,254.424313,243.599429,9.221111,0.0,1.603773,2,0.08,1.0,0.0,True,24.992538
RDL-n25-01,Full-ALNS,8,10000,0.1,0.4,0.997,100,254.623823,243.798939,9.221111,0.0,1.603773,2,0.08,1.0,0.0,True,25.024549
RDL-n25-01,Full-ALNS,9,10000,0.1,0.4,0.997,100,255.183032,229.628835,21.161178,0.0,4.393019,3,0.12,1.0,0.0,True,24.861142
RDL-n25-01,Full-ALNS,10,10000,0.1,0.4,0.997,100,254.609666,229.182622,21.203031,0.0,4.224014,4,0.16,1.0,0.0,True,25.000796
RDL-n25-01,Generic-ALNS,1,10000,0.1,0.4,0.997,100,702.753064,250.425202,0.0,452.327862,0.0,0,0.0,0.64,1.809311,True,28.585408
RDL-n25-01,Generic-ALNS,2,10000,0.1,0.4,0.997,100,559.273004,249.629277,3.756168,304.626131,1.261428,1,0.04,0.8,1.218505,True,28.333718
RDL-n25-01,Generic-ALNS,3,10000,0.1,0.4,0.997,100,588.444276,214.908713,35.336037,333.95299,4.246537,4,0.16,0.68,1.335812,True,27.076262
RDL-n25-01,Generic-ALNS,4,10000,0.1,0.4,0.997,100,685.501398,215.921563,53.252242,405.749258,10.578334,8,0.32,0.88,1.622997,True,26.212881
RDL-n25-01,Generic-ALNS,5,10000,0.1,0.4,0.997,100,616.713295,235.827786,5.464943,374.13169,1.288875,1,0.04,0.56,1.961201,True,27.969312
RDL-n25-01,Generic-ALNS,6,10000,0.1,0.4,0.997,100,437.662042,243.108357,5.464943,188.746398,0.342345,1,0.04,0.8,0.754986,True,26.985092
RDL-n25-01,Generic-ALNS,7,10000,0.1,0.4,0.997,100,662.651922,239.296388,5.99096,416.448714,0.91586,1,0.04,0.76,1.665795,True,28.036797
RDL-n25-01,Generic-ALNS,8,10000,0.1,0.4,0.997,100,613.782985,217.536732,53.252242,332.415677,10.578334,8,0.32,0.84,1.329663,True,26.889896
RDL-n25-01,Generic-ALNS,9,10000,0.1,0.4,0.997,100,413.656164,243.959314,17.40501,150.635813,1.656027,2,0.08,0.84,0.602543,True,27.558858
RDL-n25-01,Generic-ALNS,10,10000,0.1,0.4,0.997,100,466.71275,213.387128,33.428018,213.558634,6.338969,5,0.2,0.84,0.854235,True,28.079649
RDL-n25-01,No-Adaptive,1,10000,0.1,0.4,0.997,100,256.693448,250.278137,5.464943,0.0,0.950368,1,0.04,1.0,0.0,True,22.310456
RDL-n25-01,No-Adaptive,2,10000,0.1,0.4,0.997,100,256.693448,250.278137,5.464943,0.0,0.950368,1,0.04,1.0,0.0,True,22.227634
RDL-n25-01,No-Adaptive,3,10000,0.1,0.4,0.997,100,256.693448,250.278137,5.464943,0.0,0.950368,1,0.04,1.0,0.0,True,21.785254
RDL-n25-01,No-Adaptive,4,10000,0.1,0.4,0.997,100,253.861016,229.041995,21.203031,0.0,3.61599,4,0.16,0.96,0.006029,True,22.251475
RDL-n25-01,No-Adaptive,5,10000,0.1,0.4,0.997,100,254.511877,229.084833,21.203031,0.0,4.224014,4,0.16,1.0,0.0,True,22.149344
RDL-n25-01,No-Adaptive,6,10000,0.1,0.4,0.997,100,257.101034,236.732499,17.40501,0.0,2.963525,2,0.08,1.0,0.0,True,22.071518
RDL-n25-01,No-Adaptive,7,10000,0.1,0.4,0.997,100,257.101034,236.732499,17.40501,0.0,2.963525,2,0.08,1.0,0.0,True,22.540062
RDL-n25-01,No-Adaptive,8,10000,0.1,0.4,0.997,100,253.717218,215.115414,33.143098,0.0,5.458706,5,0.2,1.0,0.0,True,22.375069
RDL-n25-01,No-Adaptive,9,10000,0.1,0.4,0.997,100,251.988619,226.119104,21.203031,0.0,4.666484,4,0.16,1.0,0.0,True,22.175302
RDL-n25-01,No-Adaptive,10,10000,0.1,0.4,0.997,100,257.101034,236.732499,17.40501,0.0,2.963525,2,0.08,1.0,0.0,True,21.914565
RDL-n25-01,No-Restart,1,10000,0.1,0.4,0.997,100,258.313746,232.346812,21.446099,0.0,4.520835,3,0.12,1.0,0.0,True,26.895456
RDL-n25-01,No-Restart,2,10000,0.1,0.4,0.997,100,253.717218,215.115414,33.143098,0.0,5.458706,5,0.2,1.0,0.0,True,27.108533
RDL-n25-01,No-Restart,3,10000,0.1,0.4,0.997,100,256.924805,250.509494,5.464943,0.0,0.950368,1,0.04,1.0,0.0,True,24.257109
RDL-n25-01,No-Restart,4,10000,0.1,0.4,0.997,100,256.667319,250.252008,5.464943,0.0,0.950368,1,0.04,1.0,0.0,True,23.376095
RDL-n25-01,No-Restart,5,10000,0.1,0.4,0.997,100,258.532807,237.825765,17.40501,0.0,3.302032,2,0.08,1.0,0.0,True,26.787308
RDL-n25-01,No-Restart,6,10000,0.1,0.4,0.997,100,254.312368,228.885323,21.203031,0.0,4.224014,4,0.16,1.0,0.0,True,25.02675
RDL-n25-01,No-Restart,7,10000,0.1,0.4,0.997,100,252.242704,227.423683,21.203031,0.0,3.61599,4,0.16,1.0,0.0,True,24.930268
RDL-n25-01,No-Restart,8,10000,0.1,0.4,0.997,100,257.101034,236.732499,17.40501,0.0,2.963525,2,0.08,1.0,0.0,True,23.7351
RDL-n25-01,No-Restart,9,10000,0.1,0.4,0.997,100,256.667319,250.252008,5.464943,0.0,0.950368,1,0.04,1.0,0.0,True,24.400796
RDL-n25-01,No-Restart,10,10000,0.1,0.4,0.997,100,256.667319,250.252008,5.464943,0.0,0.950368,1,0.04,1.0,0.0,True,23.75108
RDL-n25-01,No-Penalty,1,10000,0.1,0.4,0.997,100,257.448896,237.080361,17.40501,0.0,2.963525,2,0.08,1.0,0.0,True,26.087538
RDL-n25-01,No-Penalty,2,10000,0.1,0.4,0.997,100,256.693448,250.278137,5.464943,0.0,0.950368,1,0.04,1.0,0.0,True,25.529185
RDL-n25-01,No-Penalty,3,10000,0.1,0.4,0.997,100,255.294196,229.739999,21.161178,0.0,4.393019,3,0.12,1.0,0.0,True,25.698421
