parameter_name,lower_level,higher_level,paired_runs,mean_cost_change_high_minus_low,std_cost_change,cost_change_ci95_low,cost_change_ci95_high,mean_paired_rpd,std_paired_rpd,paired_rpd_ci95_low,paired_rpd_ci95_high,mean_drone_ratio_change,std_drone_ratio_change,drone_ratio_change_ci95_low,drone_ratio_change_ci95_high,higher_better,tie,higher_worse,wilcoxon_p,holm_p,incumbent_inheritance
number_of_drones,0.0,2.0,80,-19.248129224999992,30.92322037752516,-26.129754819658743,-12.36650363034124,-3.0614341581031135,3.703373335865249,-3.8855795227686123,-2.2372887934376147,0.0465,0.03625158224395004,0.03843260555753253,0.05456739444246747,58,22,0,4.362713753543206e-13,2.6176282521259235e-12,True
number_of_drones,2.0,4.0,80,-4.470612712500008,7.6734878291823305,-6.178263778621917,-2.7629616463781,-0.769272412369028,1.207167944966832,-1.037914478936359,-0.500630345801697,0.0325,0.042261991781825534,0.023095054435583847,0.04190494556441615,42,38,0,2.1363274679890436e-10,1.0681637339945218e-09,True
number_of_drones,4.0,6.0,80,-0.44534191249998967,1.2894039006843665,-0.73228469454126,-0.1583991304587194,-0.10912246600696798,0.32468347059133584,-0.18137723294605054,-0.03686769906788542,0.0095,0.02134111145125023,0.004750768290351583,0.014249231709648418,29,51,0,9.084815896518146e-08,3.633926358607258e-07,True
number_of_drones,6.0,8.0,80,-0.5265037750000012,2.1593194818320454,-1.0070367864977487,-0.04597076350225371,-0.13125214949353764,0.5106955659750322,-0.2449018805043084,-0.017602418482766904,0.008,0.03391724851510575,0.0004520860818366954,0.015547913918163306,13,67,0,0.0003170552124922506,0.0006341104249845012,True
number_of_drones,8.0,10.0,80,-0.29623375000000074,1.399909970275357,-0.6077684531794458,0.01530095317944441,-0.07217047068806802,0.3372156645621383,-0.14721414077933917,0.0028731994032031305,0.0009999999999999998,0.014195738351412798,-0.002159106819455375,0.004159106819455375,14,66,0,0.0001869390222484202,0.0005608170667452606,True
number_of_drones,10.0,12.0,80,-0.09908762500000065,0.3923059029688589,-0.18639102709871425,-0.01178422290128707,-0.0249340092692148,0.09327916760075913,-0.045692271163450954,-0.004175747374978646,0.0015,0.014849455515739426,-0.001804584448071554,0.0048045844480715545,8,72,0,0.004696295934399482,0.004696295934399482,True
drone_range,8.0,12.0,80,-1.5330337500000009,2.558807602000223,-2.1024684877393494,-0.9635990122606523,-0.342254767633551,0.5675128782349865,-0.4685485721106155,-0.21596096315648652,0.0035000000000000005,0.03721643845317873,-0.004782112673736144,0.011782112673736144,47,33,0,2.5659510075084002e-11,1.2829755037542e-10,True
drone_range,12.0,16.0,80,-17.884685749999996,39.06329784324428,-26.577796848002716,-9.191574651997275,-2.4083451532225824,4.754966701113047,-3.466511157689302,-1.3501791487558628,0.0365,0.07064082801240712,0.02077965379597462,0.052220346204025374,36,44,0,2.0194714498273106e-09,8.077885799309243e-09,True
drone_range,16.0,20.0,80,-0.6044839125000003,2.1271782056241495,-1.0778642333563162,-0.13110359164368451,-0.13919863632874468,0.49665275523661107,-0.24972329289323614,-0.028673979764253246,0.0005000000000000001,0.02249613187566006,-0.00450626891398659,0.005506268913986591,19,61,0,1.3865128038742171e-05,4.1595384116226515e-05,True
drone_range,20.0,24.0,80,-0.10072708749999962,0.49618726691304293,-0.2111481547124645,0.009693979712465287,-0.022068799000392176,0.10933877191940224,-0.04640095076670612,0.0022633527659217667,0.0009999999999999998,0.008944271909999158,-0.0009904502102301282,0.002990450210230128,7,73,0,0.008172489488737793,0.016344978977475586,True
