parameter_name,parameter_value,runs,feasible_runs,feasible_rate,total_cost_mean,total_cost_std,total_cost_ci95_low,total_cost_ci95_high,rider_cost_mean,rider_cost_std,rider_cost_ci95_low,rider_cost_ci95_high,drone_cost_mean,drone_cost_std,drone_cost_ci95_low,drone_cost_ci95_high,delay_cost_mean,delay_cost_std,delay_cost_ci95_low,delay_cost_ci95_high,self_pickup_cost_mean,self_pickup_cost_std,self_pickup_cost_ci95_low,self_pickup_cost_ci95_high,drone_served_orders_mean,drone_served_orders_std,drone_served_orders_ci95_low,drone_served_orders_ci95_high,drone_mode_ratio_mean,drone_mode_ratio_std,drone_mode_ratio_ci95_low,drone_mode_ratio_ci95_high,on_time_rate_mean,on_time_rate_std,on_time_rate_ci95_low,on_time_rate_ci95_high,average_delay_mean,average_delay_std,average_delay_ci95_low,average_delay_ci95_high,max_delay_mean,max_delay_std,max_delay_ci95_low,max_delay_ci95_high,average_walking_distance_mean,average_walking_distance_std,average_walking_distance_ci95_low,average_walking_distance_ci95_high,drone_utilization_mean,drone_utilization_std,drone_utilization_ci95_low,drone_utilization_ci95_high,cpu_time_mean,cpu_time_std,cpu_time_ci95_low,cpu_time_ci95_high
number_of_drones,0.0,80,80,1.0,494.5588989875,150.53964606429406,461.0579418194088,528.0598561555912,487.05986225,134.89195831332492,457.0411274122376,517.0785970877623,0.0,0.0,0.0,0.0,7.4990366999999996,18.653974036342,3.3477981290040315,11.650275270995968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982,0.0323900281576079,0.9747919523238558,0.9892080476761441,0.0299961625,0.07461589294385414,0.013391208928478136,0.04660111607152186,0.5855794,1.4569534526969483,0.26135029165031604,0.9098085083496839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.799253049999999,0.9521755124986534,15.587356769553724,16.011149330446273
number_of_drones,2.0,80,80,1.0,475.31076976250006,125.55413924657836,447.3700647645638,503.25147476043634,460.95367643749995,118.43137434487872,434.59806512171775,487.30928775328215,10.911176425,11.097585671386117,8.44152971088759,13.380823139112412,1.8981096125,3.447977137768435,1.1307998875946776,2.6654193374053223,1.54780745,1.6649643406851276,1.1772877860978446,1.9183271139021556,1.1625,0.9062895560987507,0.9608151389383134,1.364184861061687,0.0465,0.03625158224395004,0.03843260555753253,0.05456739444246747,0.9800000000000001,0.032452496929543405,0.9727780505796466,0.9872219494203536,0.007592425,0.01379188354764396,0.00452319166461944,0.01066165833538056,0.1396462125,0.2532389895843222,0.08329063597810658,0.1960017890218934,0.4297633125,0.4192649180716293,0.3364604754759106,0.5230661495240894,0.58125,0.45314477804937536,0.4804075694691567,0.6820924305308435,17.300282637499997,1.4362425537431303,16.980662513938732,17.61990276106126
number_of_drones,4.0,80,80,1.0,470.84015705,120.48643309492032,444.0272148120124,497.65309928798763,449.013417725,110.33148050891697,424.46034948380924,473.5664859661908,18.5675614375,19.581528779089,14.209905669969935,22.925217205030066,0.790115275,1.759829921960376,0.3984843101341712,1.181746239865829,2.4690628,2.397703368721909,1.9354800531464935,3.0026455468535067,1.975,1.5008436446111302,1.6410036078957873,2.3089963921042127,0.07899999999999999,0.06003374578444521,0.06564014431583147,0.0923598556841685,0.9890000000000001,0.024628891133808936,0.983519108762758,0.9944808912372421,0.0040988249999999995,0.010676219434426462,0.0017229487485233008,0.006474701251476698,0.090872225,0.25381583842695693,0.03438827705652561,0.1473561729434744,0.4720992625000001,0.38307009980977635,0.38685118771295834,0.5573473372870419,0.49375,0.37521091115278254,0.4102509019739468,0.5772490980260532,18.8303618625,2.267033114868433,18.32585835617838,19.334865368821617
number_of_drones,6.0,80,80,1.0,470.39481513749996,120.59543432916013,443.5576158630771,497.2320144119228,445.9748517,108.00954665870367,421.9385045252977,470.0111988747023,20.958225987499997,22.988002535020122,15.842496620255634,26.07395535474436,0.669369225,1.6219698985204003,0.3084175055103837,1.0303209444896162,2.792368325,2.480897868056311,2.2402715492399006,3.3444651007600994,2.2125,1.6815736300910886,1.8382841198018136,2.586715880198186,0.0885,0.06726294520364355,0.07353136479207255,0.10346863520792744,0.99,0.024235135075998615,0.9846067348810081,0.9953932651189918,0.0036158375,0.010365330127118266,0.0013091462747967207,0.005922528725203279,0.0787976125,0.24505178338075495,0.02426400946829864,0.13333121553170135,0.509149975,0.39100693366046124,0.42213564436053985,0.5961643056394602,0.36874996250000003,0.28026223884279483,0.306380656441609,0.43111926855839106,19.746981599999998,2.7314254376225304,19.13913264468529,20.354830555314706
number_of_drones,8.0,80,80,1.0,469.86831136250004,120.87601940036821,442.96867093919514,496.76795178580494,443.0785566625,109.92473291437085,418.6160056644366,467.54110766056334,23.0099317875,23.138859441219807,17.860630860302933,28.15923271469707,0.7480162,1.7375251366127555,0.3613489219642502,1.1346834780357498,3.0318068250000003,2.4195585889035542,2.4933604371433007,3.5702532128567,2.4125,1.6511886780840377,2.045045959638397,2.779954040361603,0.0965,0.0660475471233615,0.0818018383855359,0.11119816161446411,0.9894999999999999,0.024437986616606067,0.9840615924819721,0.9949384075180278,0.0039304249999999995,0.010632661957294667,0.0015642419902300018,0.006296608009769998,0.0866623125,0.25247480816086015,0.03047679622339984,0.14284782877660018,0.5477406875,0.3904225280117081,0.4608564099669442,0.6346249650330559,0.3015625,0.2063985847605047,0.25563074495479965,0.3474942550452004,19.975340949999996,3.026768738241221,19.301766562730414,20.648915337269578
number_of_drones,10.0,80,80,1.0,469.57207761250004,120.99529219242638,442.6458943295397,496.49826089546036,442.46908665,109.93760088973785,418.00367202429516,466.93450127570486,23.122143725,22.941174013155088,18.016835534809392,28.22745191519061,0.9017779625,2.0312147916930945,0.4497532532972085,1.3538026717027916,3.0790693625000003,2.4012900422705874,2.5446884405472985,3.613450284452702,2.4375,1.6291937122081996,2.0749406995224366,2.8000593004775634,0.0975,0.06516774848832799,0.08299762798089748,0.11200237201910253,0.9879999999999999,0.02730048453226063,0.9819245747755192,0.9940754252244806,0.003607175,0.008124971049257088,0.0017990512649615155,0.005415298735038484,0.072916575,0.1587653335812288,0.03758508074491949,0.10824806925508051,0.5522397625,0.39032953801531173,0.4653761788769391,0.6391033461230607,0.24375,0.16291937122081995,0.20749406995224368,0.2800059300477563,20.021686012500002,3.110080632470583,19.3295714713697,20.713800553630303
number_of_drones,12.0,80,80,1.0,469.47298998749994,121.04045981824659,442.53675514179486,496.40922483320503,442.04939891249995,110.09463565145782,417.54903791244243,466.5497599125575,23.3294244,22.81146808139621,18.2529808509714,28.4058679490286,0.9643201874999999,2.0510011940522115,0.507892230147812,1.4207481448521877,3.1298465750000006,2.3638715900104486,2.60379272169158,3.655900428308421,2.475,1.6067500022157315,2.1174353025177806,2.8325646974822196,0.099,0.06427000008862926,0.08469741210071123,0.11330258789928878,0.9865,0.027700934499613875,0.9803354590006721,0.992664540999328,0.00385735,0.008204122261307484,0.0020316120255632754,0.005683087974436724,0.0791708,0.16196542469706696,0.04312716035193844,0.11521443964806155,0.5621689625,0.38399871479740905,0.4767142345704828,0.6476236904295173,0.20625003749999998,0.13389583542218048,0.1764529789527221,0.23604709604727786,19.987896125,3.1105117901688017,19.295685634424096,20.6801066155759
drone_range,8.0,80,80,1.0,489.4982679375,152.8358512496944,455.486315336801,523.510220538199,472.0118339875,142.29296227037656,440.3460863989559,503.6775815760441,8.2414678125,9.838097997903398,6.052106350188053,10.430829274811947,7.5898303625,18.627789665737915,3.444418837740783,11.735241887259217,1.6551357749999998,1.8848368444154857,1.2356858822678536,2.074585667732146,1.4,1.5393570908546712,1.0574328602772534,1.7425671397227465,0.05600000000000001,0.061574283634186856,0.042297314411090144,0.06970268558890987,0.9789999999999999,0.03425888039729186,0.9713760596306552,0.9866239403693445,0.030518087500000003,0.0744523293823679,0.013949533216047014,0.04708664178395299,0.59743985,1.4534992852903115,0.2739794289520766,0.9209002710479234,0.389581975,0.4360951551923645,0.2925337521745533,0.48663019782544675,0.175,0.1924196363568339,0.13217910753465667,0.2178208924653433,21.310601725,1.7069262897746635,20.93074388676377,21.69045956323623
drone_range,12.0,80,80,1.0,487.9652341875,153.20699085450937,453.8706885136183,522.0597798613817,469.8203008375,142.70942857569264,438.06187321269226,501.5787284623077,8.946755999999999,8.471126532948084,7.061599135577916,10.831912864422081,7.528768962499998,18.647935309379978,3.378874244360028,11.678663680639968,1.6694084375,1.6126166121290904,1.310538189934679,2.028278685065321,1.4875,1.3311625260974245,1.191264291092383,1.7837357089076171,0.0595,0.05324650104389697,0.047650571643695315,0.07134942835630467,0.9804999999999999,0.03367378877751819,0.9730062653924323,0.9879937346075676,0.0302818375,0.07453090263257534,0.01369579759575644,0.04686787740424356,0.5923472750000001,1.4551834125350276,0.2685120697927812,0.9161824802072189,0.4170198875000001,0.4248679831850078,0.32247014941508884,0.5115696255849114,0.1859375,0.16639531576217806,0.14890803638654787,0.22296696361345214,21.187430099999997,2.2304101515933565,20.691076634920822,21.68378356507917
drone_range,16.0,80,80,1.0,470.08054843749994,121.12286890796165,443.12597434723716,497.0351225277627,445.01581559999994,109.16422298856234,420.7225077954508,469.3091234045491,21.4882674375,22.624002959199675,16.45354220782054,26.52299266717946,0.5219390125000001,1.4973231582561477,0.1887260662565457,0.8551519587434544,3.0545264750000003,2.365033709213438,2.5282140047314536,3.580838945268547,2.4,1.710725658450534,2.0192966536826518,2.780703346317348,0.096,0.06842902633802135,0.08077186614730607,0.11122813385269394,0.99,0.027374570108178776,0.9839080878382208,0.9960919121617792,0.002329875,0.006031205424312221,0.0009876959802250433,0.0036720540197749565,0.047060950000000004,0.1163780919930673,0.02116227428836192,0.07295962571163808,0.5645867499999999,0.4065044377395054,0.4741236187692148,0.655049881230785,0.3,0.21384070730631674,0.25241208171033147,0.3475879182896685,20.7901315625,2.379589709060265,20.26057981314348,21.319683311856522
drone_range,20.0,80,80,1.0,469.476064525,121.3186068625404,442.4779310867253,496.4741979632748,443.9631917625,109.67459113785098,419.5563070899544,468.37007643504563,21.96312555,22.619038685584865,16.929505065296958,26.996746034703044,0.4116361125,1.2240943766154924,0.13922725308775813,0.6840449719122419,3.13811125,2.3739721877458035,2.609809618774261,3.6664128812257393,2.4125,1.6588370945723134,2.0433438879258863,2.781656112074114,0.0965,0.06635348378289253,0.08173375551703546,0.11126624448296454,0.993,0.017746456233872714,0.9890507196229061,0.9969492803770938,0.001888675,0.004969422350800233,0.0007827842285203623,0.002994565771479638,0.0439026,0.11464479869774105,0.01838964981625152,0.06941555018374848,0.592727625,0.419409049780711,0.4993927130352638,0.6860625369647362,0.3015625,0.20735463682153918,0.2554179859907358,0.34770701400926424,20.133604212499996,2.6689753806055134,19.53965283659356,20.72755558840643
