instance_name,parameter_name,parameter_value,seed,n_iterations,xi_min,xi_max,cooling_rate,segment_size,total_cost,rider_cost,drone_cost,delay_cost,self_pickup_cost,drone_served_orders,drone_mode_ratio,on_time_rate,average_delay,max_delay,average_walking_distance,drone_utilization,feasible,cpu_time,incumbent_inherited,initial_incumbent_cost
RDL-n25-01,drone_range,8,1,10000,0.1,0.4,0.997,100,254.609666,229.182622,21.203031,0.0,4.224014,4,0.16,1.0,0.0,0.0,0.528002,0.5,True,19.997425,False,
RDL-n25-01,drone_range,12,1,10000,0.1,0.4,0.997,100,251.988272,226.118757,21.203031,0.0,4.666484,4,0.16,1.0,0.0,0.0,0.583311,0.5,True,20.580223,False,
RDL-n25-01,drone_range,16,1,10000,0.1,0.4,0.997,100,251.988272,226.118757,21.203031,0.0,4.666484,4,0.16,1.0,0.0,0.0,0.583311,0.5,True,20.588938,False,
RDL-n25-01,drone_range,20,1,10000,0.1,0.4,0.997,100,251.988272,226.118757,21.203031,0.0,4.666484,4,0.16,1.0,0.0,0.0,0.583311,0.5,True,20.789899,False,
RDL-n25-01,drone_range,24,1,10000,0.1,0.4,0.997,100,251.988272,226.118757,21.203031,0.0,4.666484,4,0.16,1.0,0.0,0.0,0.583311,0.5,True,20.688279,False,
RDL-n25-01,drone_range,30,1,10000,0.1,0.4,0.997,100,251.988272,226.118757,21.203031,0.0,4.666484,4,0.16,1.0,0.0,0.0,0.583311,0.5,True,20.850042,False,
RDL-n25-01,drone_range,8,2,10000,0.1,0.4,0.997,100,254.312368,228.885323,21.203031,0.0,4.224014,4,0.16,1.0,0.0,0.0,0.528002,0.5,True,20.567137,False,
RDL-n25-01,drone_range,12,2,10000,0.1,0.4,0.997,100,256.667319,250.252008,5.464943,0.0,0.950368,1,0.04,1.0,0.0,0.0,0.475184,0.125,True,21.168809,False,
RDL-n25-01,drone_range,16,2,10000,0.1,0.4,0.997,100,256.667319,250.252008,5.464943,0.0,0.950368,1,0.04,1.0,0.0,0.0,0.475184,0.125,True,20.924326,False,
RDL-n25-01,drone_range,20,2,10000,0.1,0.4,0.997,100,256.667319,250.252008,5.464943,0.0,0.950368,1,0.04,1.0,0.0,0.0,0.475184,0.125,True,20.824171,False,
RDL-n25-01,drone_range,24,2,10000,0.1,0.4,0.997,100,256.667319,250.252008,5.464943,0.0,0.950368,1,0.04,1.0,0.0,0.0,0.475184,0.125,True,22.659293,False,
RDL-n25-01,drone_range,30,2,10000,0.1,0.4,0.997,100,256.667319,250.252008,5.464943,0.0,0.950368,1,0.04,1.0,0.0,0.0,0.475184,0.125,True,21.046498,False,
RDL-n25-01,drone_range,8,3,10000,0.1,0.4,0.997,100,253.214412,227.44886,21.203031,0.0,4.562521,4,0.16,1.0,0.0,0.0,0.570315,0.5,True,20.195534,False,
RDL-n25-01,drone_range,12,3,10000,0.1,0.4,0.997,100,255.281276,244.456392,9.221111,0.0,1.603773,2,0.08,1.0,0.0,0.0,0.400943,0.25,True,21.667254,False,
RDL-n25-01,drone_range,16,3,10000,0.1,0.4,0.997,100,255.281276,244.456392,9.221111,0.0,1.603773,2,0.08,1.0,0.0,0.0,0.400943,0.25,True,22.002453,False,
RDL-n25-01,drone_range,20,3,10000,0.1,0.4,0.997,100,255.281276,244.456392,9.221111,0.0,1.603773,2,0.08,1.0,0.0,0.0,0.400943,0.25,True,21.167037,False,
RDL-n25-01,drone_range,24,3,10000,0.1,0.4,0.997,100,255.281276,244.456392,9.221111,0.0,1.603773,2,0.08,1.0,0.0,0.0,0.400943,0.25,True,21.081954,False,
RDL-n25-01,drone_range,30,3,10000,0.1,0.4,0.997,100,255.281276,244.456392,9.221111,0.0,1.603773,2,0.08,1.0,0.0,0.0,0.400943,0.25,True,21.160789,False,
RDL-n25-01,drone_range,8,4,10000,0.1,0.4,0.997,100,252.90816,227.142608,21.203031,0.0,4.562521,4,0.16,0.96,0.006029,0.150729,0.570315,0.5,True,20.870274,False,
RDL-n25-01,drone_range,12,4,10000,0.1,0.4,0.997,100,253.734304,227.864789,21.203031,0.0,4.666484,4,0.16,1.0,0.0,0.0,0.583311,0.5,True,21.071414,False,
